year,pid,name,pos,pred
2020,00-0033733,Greg Ward,WR,4.08
2020,00-0033839,Dede Westbrook,WR,5.88
2020,00-0033857,JuJu Smith-Schuster,WR,6.33
2020,00-0033871,Corey Davis,WR,6.43
2020,00-0033908,Cooper Kupp,WR,8.66
2020,00-0033921,Chris Godwin Jr.,WR,9.9
2020,00-0033932,Kenny Golladay,WR,8.63
2020,00-0033943,Josh Reynolds,WR,3.46
2020,00-0034272,Marquez Valdes-Scantling,WR,4.13
2020,00-0034273,Damion Ratley,WR,1.66
2020,00-0034348,Courtland Sutton,WR,7.71
2020,00-0034353,Anthony Miller,WR,5.41
2020,00-0034366,Keke Coutee,WR,3.93
2020,00-0034370,DaeSean Hamilton,WR,2.23
2020,00-0034386,Justin Watson,WR,2.58
2020,00-0034411,Russell Gage,WR,3.94
2020,00-0034521,Allen Lazard,WR,3.9
2020,00-0034631,Vyncint Smith,WR,2.06
2020,00-0034676,James Washington,WR,5.29
2020,00-0034686,Auden Tate,WR,4.17
2020,00-0034747,Marcell Ateman,WR,0.14
2020,00-0034764,Michael Gallup,WR,6.95
2020,00-0034765,Tre'Quan Smith,WR,4.08
2020,00-0034772,Antonio Callaway,WR,2.47
2020,00-0034775,Christian Kirk,WR,7.3
2020,00-0034777,DJ Chark,WR,7.11
2020,00-0034827,DJ Moore,WR,8.95
2020,00-0034837,Calvin Ridley,WR,8.1
2020,00-0034860,Dante Pettis,WR,2.35
2020,00-0034867,Malik Turner,WR,0.74
2020,00-0034928,Steven Sims,WR,4.09
2020,00-0034960,Jakobi Meyers,WR,4.02
2020,00-0034983,Hunter Renfrow,WR,3.99
2020,00-0035006,Bisi Johnson,WR,3.54
2020,00-0035140,Mecole Hardman,WR,5.1
2020,00-0035208,Olamide Zaccheaus,WR,2.45
2020,00-0035216,Diontae Johnson,WR,5.71
2020,00-0035246,J.J. Arcega-Whiteside,WR,2.9
2020,00-0035287,KeeSean Johnson,WR,3.82
2020,00-0035297,Kelvin Harmon,WR,3.52
2020,00-0035298,Scott Miller,WR,3.3
2020,00-0035350,Preston Williams,WR,6.09
2020,00-0035535,Darius Slayton,WR,6.61
2020,00-0035639,Parris Campbell,WR,3.05
2020,00-0035640,DK Metcalf,WR,7.58
2020,00-0035659,Terry McLaurin,WR,7.38
2020,00-0035662,Marquise Brown,WR,6.83
2020,00-0035676,A.J. Brown,WR,7.52
2020,00-0035703,Miles Boykin,WR,3.5
2020,00-0035719,Deebo Samuel Sr.,WR,6.38
2020,00-0022127,Jason Witten,TE,2.58
2020,00-0024389,Delanie Walker,TE,2.76
2020,00-0025418,Greg Olsen,TE,3.7
2020,00-0027061,Jared Cook,TE,5.51
2020,00-0027696,Jimmy Graham,TE,2.55
2020,00-0027981,Kyle Rudolph,TE,4.19
2020,00-0029738,Darren Fells,TE,3.39
2020,00-0030061,Zach Ertz,TE,7.39
2020,00-0030108,Ryan Griffin,TE,3.12
2020,00-0030155,Demetrius Harris,TE,0.83
2020,00-0030181,Jack Doyle,TE,3.96
2020,00-0030216,Josh Hill,TE,1.79
2020,00-0030470,Vance McDonald,TE,3.15
2020,00-0030506,Travis Kelce,TE,9.28
2020,00-0030549,Tyler Eifert,TE,3.32
2020,00-0031273,Cameron Brate,TE,2.7
2020,00-0031387,Eric Ebron,TE,4.71
2020,00-0031598,Nick Boyle,TE,3.35
2020,00-0031610,Darren Waller,TE,5.24
2020,00-0031744,Matt LaCosse,TE,1.22
2020,00-0031951,James O'Shaughnessy,TE,2.36
2020,00-0032134,C.J. Uzomah,TE,2.78
2020,00-0032392,Austin Hooper,TE,5.99
2020,00-0033090,Hunter Henry,TE,5.49
2020,00-0033110,Tyler Higbee,TE,5.12
2020,00-0033288,George Kittle,TE,8.97
2020,00-0033357,Taysom Hill,TE,3.24
2020,00-0033387,Jacob Hollister,TE,3.42
2020,00-0033455,Anthony Firkser,TE,2.49
2020,00-0033611,Ricky Seals-Jones,TE,2.68
2020,00-0033658,Blake Jarwin,TE,3.3
2020,00-0033858,Jonnu Smith,TE,4.24
2020,00-0033879,O.J. Howard,TE,4.3
2020,00-0033881,Evan Engram,TE,6.48
2020,00-0033895,Gerald Everett,TE,3.76
2020,00-0034011,Dan Arnold,TE,2.67
2020,00-0034073,Ross Dwelley,TE,0.99
2020,00-0034159,Will Dissly,TE,4.98
2020,00-0034351,Dallas Goedert,TE,4.68
2020,00-0034364,Jordan Akins,TE,3.07
2020,00-0034439,Ryan Izzo,TE,1.86
2020,00-0034753,Mark Andrews,TE,6.95
2020,00-0034788,Jaeden Graham,TE,2.07
2020,00-0034829,Mike Gesicki,TE,4.35
2020,00-0034830,Hayden Hurst,TE,3.26
2020,00-0034970,Irv Smith,TE,3.61
2020,00-0034981,Foster Moreau,TE,2.61
