name,pos,pred_ppg,ppg,age,cap_pct,room_share,room_rank,room_ahead,room_ahead_gap,room_behind,room_behind_gap,rook_pick,rook_name
Kimani Vidal,RB,6.854299000862909,8.461538461538462,25.010266940451746,0.4,0.07296681862770252,3,Keaton Mitchell,4,,,,
DeMario Douglas,WR,6.833712043938532,5.375,25.730321697467488,1.1,0.11706127381475372,6,Mack Hollins,,,,,
Colby Parkinson,TE,6.803431435571335,8.928571428571429,27.64955509924709,2.9,0.49252725948400033,2,Terrance Ferguson,38,Max Klare,47,61,Max Klare
Rashod Bateman,WR,6.740708442096543,4.0,26.757015742642025,2.0,0.41902942825722045,2,Zay Flowers,120,Ja'Kobi Lane,45,80,Ja'Kobi Lane
Jalen McMillan,WR,6.660564528592802,7.0,24.733744010951405,0.5,0.034836591845536995,3,Chris Godwin Jr.,53,Ted Hurst,75,84,Ted Hurst
Jacory Croskey-Merritt,RB,6.636128057621713,7.588235294117647,25.388090349075977,0.3,0.1856174828219281,2,Rachaad White,16,Kaytron Allen,68,187,Kaytron Allen
Mason Taylor,TE,6.6352742893201935,6.538461538461538,22.316221765913756,0.7,0.3406342061654064,2,Kenyon Sadiq,58,,,16,Kenyon Sadiq
Audric Estimé,RB,6.59805692382207,8.8,22.986995208761122,0.3,0.05253025278339485,6,Ty Chandler,,,,,
Evan Engram,TE,6.568774749665388,6.0,31.99726214921287,4.7,0.6646293683417663,7,Adam Trautman,,,,152,Justin Joly
Mack Hollins,WR,6.542174453905348,7.5,32.95824777549623,1.6,0.17524459488043914,5,Kyle Williams,,,,,
Josh Palmer,WR,6.515544305295408,4.0,26.94318959616701,3.9,0.3532849107504598,6,Mecole Hardman,,,,125,Skyler Bell
Chig Okonkwo,TE,6.40557789217215,6.882352941176471,26.981519507186857,1.6,0.32527743066268955,1,,,,,,
Bhayshul Tuten,RB,6.290832114873344,5.2,24.54483230663929,0.4,0.19343023415843136,1,,,Chris Rodriguez Jr.,109,,
