Player,Team,POS,Average_ADP,Depth,Depth_Rank
Ty Johnson,BUF,RB89,288.0,RB3,3
Jalen Tolbert,DAL,WR99,289.0,WR3,3
Cleveland Browns,DST,DST26,289.0,DST26,26
Christian Watson,GB,WR103,289.0,WR5,5
Brandin Cooks,NO,WR100,289.5,WR3,3
KeAndre Lambert-Smith,LAC,WR105,291.0,WR5,5
Taysom Hill,NO,TE38,291.0,TE2,2
Indianapolis Colts,DST,DST27,292.0,DST27,27
Efton Chism,NE,WR106,292.0,WR5,5
Las Vegas Raiders,DST,DST28,293.0,DST28,28
Audric Estime,DEN,RB87,294.0,RB4,4
Jake Moody,SF,K19,294.0,K1,1
Noah Brown,WAS,WR107,295.0,WR3,3
Jacksonville Jaguars,DST,DST29,296.0,DST29,29
KaVontae Turpin,DAL,WR108,296.0,WR4,4
Khalil Herbert,IND,RB90,297.0,RB3,3
Diontae Johnson,CLE,WR98,297.0,WR3,3
New Orleans Saints,DST,DST30,298.0,DST30,30
Samaje Perine,CIN,RB91,298.0,RB3,3
Daniel Carlson,LV,K18,299.0,K1,1
Will Reichard,MIN,K20,299.0,K1,1
Tyler Higbee,LAR,TE42,302.0,TE2,2
Noah Fant,CIN,TE39,302.0,TE2,2
Tanner McKee,PHI,QB40,303.0,QB2,2
Curtis Samuel,BUF,WR110,306.0,WR4,4
Tutu Atwell,LAR,WR104,306.0,WR3,3
Tre Tucker,LV,WR111,306.0,WR4,4
Mitchell Tinsley,CIN,WR112,308.0,WR4,4
Oronde Gadsden,LAC,TE40,308.0,TE2,2
Jordan Whittington,LAR,WR101,308.5,WR4,4
Demarcus Robinson,SF,WR113,312.0,WR4,4
Ben Sinnott,WAS,TE41,312.5,TE2,2
Marquez Valdes-Scantling,SEA,WR109,313.0,WR4,4
Jalen Nailor,MIN,WR114,314.0,WR3,3
Joshua Karty,LAR,K21,316.0,K1,1
Isaiah Bond,CLE,WR115,318.0,WR4,4
Kenneth Gainwell,PIT,RB93,321.0,RB3,3
Damien Martinez,SEA,RB92,321.0,RB3,3
Emanuel Wilson,GB,RB94,323.0,RB3,3
Jermaine Burton,CIN,WR116,324.0,WR5,5
Elijah Moore,BUF,WR117,326.0,WR5,5
Devaughn Vele,NO,WR118,328.0,WR4,4
LeQuint Allen,JAC,RB95,334.0,RB4,4
Tai Felton,MIN,WR119,336.0,WR4,4
Kimani Vidal,LAC,RB96,337.0,RB3,3
Isaiah Davis,NYJ,RB97,338.0,RB3,3
Jameis Winston,NYG,QB41,342.0,QB3,3
Parker Washington,JAC,WR120,343.0,WR4,4
Phil Mafah,DAL,RB98,344.0,RB4,4
,,UNK,,NO TEAM,0
,,UNK,,NO TEAM,0
